id;nom;birlik
12137;"Раствор отделочный тяжелый цементно-известковый 1:1:4";"м3"
12138;"Раствор цементно-известковый 1:1:6";"м3"
12139;"Раствор цементно-известковый 1:1:9";"м3"
12140;"Раствор отделочный тяжелый цементно-известковый 1:2:16";"м3"
12141;"Раствор отделочный тяжелый цементно-известковый 1:2:5";"м3"
12142;"Раствор отделочный тяжелый цементно-известковый 1:2:6";"м3"
12143;"Раствор цементно-известковый 1:2:8";"м3"
12144;"Раствор отделочный тяжелый цементно-известковый 1:3:12";"м3"
12145;"Раствор отделочный тяжелый известковый 1:1";"м3"
12146;"Раствор готовый отделочный тяжелый, известковый: 1:2,0";"м3"
12147;"Раствор отделочный тяжелый известковый 1:2,5";"м3"
12148;"Раствор готовый отделочный тяжелый, известковый: 1:3";"м3"
12149;"Раствор готовый отделочный тяжелый, известковый 1:3";"м3"
12150;"Раствор известковый 1:4";"м3"
12151;"Раствор отделочный легкий цементно-известковый 1:1:12";"м3"
12152;"Раствор отделочный легкий цементно-извествовый 1:1:16";"м3"
12153;"Раствор отделочный легкий цементно-известковый 1:2:16";"м3"
12154;"Раствор цементно-известковый 1:2,5";"м3"
12155;"Раствор цементно-известковый 1:3";"м3"
12156;"Раствор отделочный легкий известковый 1:2,5";"м3"
12157;"Раствор отделочный легкий известковый 1:3";"м3"
12158;"Раствор кладочный тяжелый глиняный";"м3"
12159;"Раствор цементный М-100 для теплоизоляции промышленного оборудования";"м3"
12160;"Раствор цементный М-100 для изоляции и торкретирования строительных конструкций, перегородок из арболита";"м3"
12161;"Раствор цементный М-150 для изоляции и торкретирования строительных конструкций, перегородок из арболита";"м3"
12162;"Раствор цементный М-200 для изоляции и торкретирования строительных конструкций, перегородок из арболита";"м3"
12163;"Раствор цементный М-300 для изоляции и торкретирования строительных конструкций, перегородок из арболита";"м3"
12164;"Раствор цементный М-100 для полов, для заделки стыков и швов сборных конструкций";"м3"
12165;"Раствор цементный М-150 для полов, для заделки стыков и швов сборных конструкций";"м3"
12166;"Раствор цементный М-200 для полов, для заделки стыков и швов сборных конструкций";"м3"
12167;"Раствор цементный М-300 для полов, для заделки стыков и швов сборных конструкций";"м3"
12168;"Раствор цементный М-100 для изоляционных работ и затирки открытых поверхностей после снятия опалубки";"м3"
12169;"Раствор цементный М-150 для изоляционных работ и затирки открытых поверхностей после снятия опалубки";"м3"
12170;"Раствор цементный М-200 для изоляционных работ и затирки открытых поверхностей после снятия опалубки";"м3"
12171;"Раствор цементный М-300 для изоляционных работ и затирки открытых поверхностей после снятия опалубки";"м3"
12172;"Раствор с мраморной крошкой для мозаичных полов /без красителя/ на обычном цементе";"м3"
12173;"Раствор декоративный (с каменной крошкой)";"м3"
12174;"Раствор с мраморной крошкой на цветном декоративном цементе";"м3"
12175;"Раствор декоративный (с каменной крошкой)";"м3"
12176;"Раствор на белом декоративном цементе М-150";"м3"
12177;"Раствор на цветном декоративном цементе М-150";"м3"
12178;"Раствор для фактурных слоев панелей М-75";"м3"
12179;"Раствор для фактурных слоев панелей М-100";"м3"
12180;"Раствор для фактурных слоев панелей М-150";"м3"
12181;"Раствор цементно-песчаный М-100";"м3"
12182;"Раствор цементно-песчаный М-150";"м3"
12183;"Раствор глинистый";"м3"
12184;"Раствор на расширяющемся цементе М-300";"м3"
12185;"Раствор декоративный";"м3"
12186;"Раствор диатомовый";"м3"
12187;"Раствор грунтовый /шлам/";"м3"
12188;"Раствор гипсовый перлитовый";"м3"
12189;"Раствор гипсо-известковый";"м3"
12190;"Раствор цементно-перлитовый";"м3"
12191;"Раствор кислотоупорный полимерсиликатный";"м3"
12192;"Раствор кислотоупорный силикатный";"м3"
12193;"Раствор цементный М-100 с гидрофобизирующими добавками";"м3"
12194;"Растворы готовые кладочные тяжелые известковые М-10";"м3"
12195;"Растворы готовые кладочные легкие цементные М-100";"м3"
12196;"Раствор тампонажный";"м3"
12197;"Раствор огнеупорный";"м3"
12198;"Раствор цементный марка по проекту";"м3"
12199;"Силикатполимерраствор";"м3"
12200;"Раствор шлакощелочной";"м3"
12201;"Растворы готовые отделочные СН 290-74 декоративные из портландцемента цветного, с красящими добавками железоокисных пигментов М-300";"м3"
12202;"Растворы готовые отделочные СН 290-74 декоративные из портландцемента цветного, с красящими добавками охра, сурик М-300";"м3"
12203;"Раствор металлоцементный марки 500";"м3"
12204;"Растворы отделочные известковые М-10";"м3"
12205;"Растворы отделочные известковые М-25";"м3"
12206;"Растворы отделочные известковые М-50";"м3"
12207;"Растворы отделочные известковые М-75";"м3"
12208;"Растворы отделочные известковые М-100";"м3"
12209;"Растворы отделочные известковые М-150";"м3"
12210;"Растворы отделочные известковые М-200";"м3"
12211;"Растворы отделочные известковые М-300";"м3"
12212;"Раствор асбесто-диатомо-цементный";"м3"
12213;"Раствор асбозурито-цементный";"м3"
12214;"Раствор асбоцементный";"м3"
12215;"Раствор глиняно-цементный";"м3"
12216;"Раствор теплый М-25";"м3"
12217;"Раствор готовый отделочный тяжелый, цементный: 1:3";"м3"
12218;"Раствор готовый отделочный тяжелый, цементно-известковый: 1:1:6";"м3"
12219;"Раствор готовый отделочный тяжелый, известковый: 1:2,5";"м3"
12220;"Раствор готовый кладочный тяжелый цементный, марка: 150";"м3"
12221;"Раствор готовый кладочный тяжелый цементно-известковый, марка: 50";"м3"
12222;"Раствор готовый отделочный тяжелый, цементный: 1:2";"м3"
12223;"Раствор готовый кладочный тяжелый цементный, марка: 200";"м3"
12224;"Раствор готовый кладочный цементный, марка 50";"м3"
12225;"Раствор готовый кладочный тяжелый цементный, марка: 75";"м3"
12226;"Раствор готовый кладочный цементный, марка 100";"м3"
12227;"Раствор готовый кладочный цементный, марка 25";"м3"
12228;"Раствор готовый кладочный тяжелый цементный, марка: 300";"м3"
12229;"Раствор готовый кладочный цементный, марка 150";"м3"
12230;"Шпатлевка перхлорвиниловая";"кг"
12231;"Купорос медный марки А";"кг"
12232;"Пемза";"м2"
12233;"Сиккатив";"кг"
12234;"Мука картофельная";"кг"
12236;"Белила эмалевые";"кг"
12237;"Белила тертые цинковые";"кг"
12238;"Белила";"кг"
12239;"Белила сухие";"кг"
12240;"Порошок ТРЕПЕЛ, шлифовочный";"кг"
12242;"Краски поливинилацетатные";"кг"
12243;"Сурик свинцовый тертый";"кг"
12244;"Краски тертые художепственные";"кг"
12245;"Краски тертые";"кг"
12246;"Краски сухие";"кг"
12247;"Алебастр";"т"
12248;"Добавка поверхностно активная /каменно-угольный деготь/";"т"
12249;"Добавки сухие /цемент, известь, золы уноса сухого отброса и др./";"т"
12250;"Смесь битумно-грунтовая";"м3"
12251;"Смеси битумно-песчаные марки 1";"т"
12252;"Смеси битумно-песчаные марки 2";"т"
12253;"Смесь битумно-минеральная мелкозернистая";"т"
12254;"Смеси битумно-минеральные холодные среднезернистые плотные";"т"
12255;"Смеси битумно-минеральные холодные мелкозернистые пористые";"т"
12256;"Смеси битумно-минеральные холодные среднезернистые пористые";"т"
12257;"Смесь битумно-минеральная крупнозернистая";"т"
12258;"Смесь битумно-песчаная М-1";"т"
12259;"Смесь битумно-песчаная М-2";"т"
12260;"Смеси дегтебетонные дорожные горячие и дегтебетон-мелкозернистые";"т"
12261;"Смеси дегтебетонные дорожные горячие и дегтебетон-среднезернистые";"т"
12262;"Смеси дегтебетонные дорожные горячие и дегтебетон-крупнозернистые";"т"
12263;"Смесь дегтебетонная мелкозернистая горячая плотная тип Б М-1";"т"
12264;"Смесь дегтебетонная мелкозернистая горячая плотная тип В М-1";"т"
12265;"Смесь дегтебетонная песчаная плотная тип В М-1";"т"
12266;"Смесь дегтебетонная среднезернистая";"т"
12267;"Смесь дегтебетонная крупнозернистая холодная пористая М-1";"т"
12268;"Смеси нефте-минеральные дорожные /холодные/ мелкозернистые";"т"
12269;"Смеси нефте-минеральные дорожные /холодные/ среднезернистые";"т"
12270;"Смеси нефте-минеральные дорожные /холодные/ крупнозернистые";"т"
12271;"Смеси песчано-резино-битумные для покрытия беговых дорожек и секторов";"т"
12272;"Смеси песчано-резино-битумные для устройства игровых площадок";"т"
12273;"Смеси резино-битумные /горячие/ спортивные типа 1";"т"
12274;"Смеси резино-битумные /горячие/ спортивные типа 2";"т"
12275;"Смеси резино-битумные /горячие/ спортивные типа 3";"т"
12276;"Смесь щебеночная /гравийная/ крупнозернистая 0-40 мм";"т"
12277;"Смесь холодная черная мелкозернистая из щебня";"т"
12278;"Смесь холодная черная мелкозернистая из щебня";"т"
12279;"Смесь холодная черная крупнозернистая из щебня";"т"
12280;"Смеси черно-щебеночные /горячие/ для покрытия дорог мелкие и среднезернистые";"т"
12281;"Смеси черно-щебеночные /горячие/ для основания дорог мелко и среднезернистые";"т"
12282;"Смеси черно-щебеночные /горячие/ для основания дорог крупнозернистые";"т"
12283;"Смесь гравийно-оптимальная";"м3"
12284;"Смесь галечно-гравийно-песчаная М-1200";"м3"
12285;"Смесь песчано-гравийная природная";"м3"
12286;"Смесь битумно-минеральная мелкозернистая";"т"
12287;"Смесь битумно-минеральная среднезернистая";"т"
12288;"Смесь щебеночно-песчаная М-600 фракции 0-120 мм";"м3"
12289;"Смесь щебеночно-песчаная М-800 фракции 0-70 мм";"м3"
12290;"Смесь щебеночно-песчаная М-800 фракции 0-120 мм";"м3"
12291;"Смесь щебеночно-песчаная М-1000 фракции 0-120 мм";"м3"
12292;"Смесь песчано-гравийная природная обогащенная с содержанием гравия 15-25 %";"м3"
12293;"Смесь песчано-гравийная обогащенная с содержанием зерен гравия от 25-35 %";"м3"
12294;"Смесь песчано-гравийная обогащенная с содержанием зерен гравия от 35-50 %";"м3"
12295;"Смесь песчано-гравийная обогащенная с содержанием зерен гравия от 50-65 %";"м3"
12296;"Смесь песчано-гравийная обогащенная с содержанием зерен гравия от 65-75 %";"м3"
12297;"Смесь песчано-гравийная обогащенная с содержанием зерен гравия 75-85 %";"м3"
12298;"Смесь песчано-щебеночная";"м3"
12299;"Смесь галечно-гравийно-песчаная";"м3"
12300;"Смесь галечно-гравийно-песчаная для строительных работ";"м3"
12301;"Смесь песчано-гравийная /гравийный материал 0/3/-15/20 мм/";"м3"
12302;"Смесь песчано-гравийная, дресва";"м3"
12303;"Гравийно-песчаная смесь";"м3"
12304;"Смесь песчано-гравийная /гравийно-песчаная смесь или щебеночно-песчаная смесь оптимального гранулометрического состава/";"м3"
12305;"Смесь песчано-гравийно-валунная несортированная";"м3"
12306;"Смесь цементно-песчаная";"м3"
12307;"Смесь цементно-грунтовая";"м3"
12308;"Смесь золошлаковая";"т"
12309;"Смесь золошлаковая до 20 мм";"м3"
12310;"Смесь хромитоглинистая";"т"
12311;"Смесь гидрофобная";"т"
12312;"Смесь пекобетонная";"т"
12313;"Смесь пескоцементная";"м3"
12314;"Смеси сухие для жаростойкого бетона М-150";"т"
12315;"Золоминеральная смесь";"т"
12316;"Смеси песчано-гравийные для дорожных работ природные, обогащенные с содержанием зерен гравия от 15-25 %.";"м3"
12317;"Смеси песчано-гравийные для дорожных работ природные, обогащенные с содержанием зерен гравия свыше 25-35 %.";"м3"
12318;"Смеси песчано-гравийные для дорожных работ, природные, обогащенные с содержанием зерен гравия свыше 35-50 %.";"м3"
12319;"Смеси песчано-гравийные для дорожных работ природные, обогащенные с содержанием зерен гравия свыше 50-65 %.";"м3"
12320;"Смеси песчано-гравийные для дорожных работ природные, обогащенные с содержанием зерен гравия свыше 65-75 %.";"м3"
12321;"Смесь холодная крупнозернистая из щебня";"т"
12322;"Смесь холодная черная среднезернистая из щебня";"т"
12323;"Смесь холодная черная крупнозернистая из гравия";"т"
12324;"Смесь холодная черная среднезернистая из гравия";"т"
12325;"Смесь холодная черная мелкозернистая из гравия";"т"
12326;"Смесь холодная черная крупнозернистая из гравия неокисленная";"т"
12327;"Смесь холодная черная среднезернистая из гравия неокисленная";"т"
12328;"Смесь холодная черная мелкозернистая из гравия неокисленная";"т"
12329;"Смесь холодная черная щебеночно-гравийная крупнозернистая";"т"
12330;"Смесь холодная черная щебеночная-гравийная среднезернистая";"т"
12331;"Смесь холодная черная щебеночно-гравийная мелкозернистая";"т"
12332;"Щебеночно-песчаная смесь, обработанная цементом (бетон М-75)";"м3"
12333;"Песчаная холодная асфальтобетонная смесь – ТСХ фракции от 0 до 10 мм";"т"
12334;"Песчаная холодная асфальтобетонная смесь – ТСХ фракции от 0 до 0,6 мм";"т"
12335;"Катионная битумная эмульсия";"т"
12341;"Раствор цементно-известковый";"М3"
12342;"Раствор известковый";"М3"
12350;"Смеси бетонные мозаичные М-200";"м3"
12351;"Смеси бетонные мозаичные М-300";"м3"
12352;"Смеси бетонные мозаичные М-400";"м3"
12353;"Смеси сухие растворные для обычных штукатурок М-25";"т"
12354;"Смеси сухие растворные для обычных штукатурок М-50";"т"
12355;"Смеси сухие растворные для обычных штукатурок М-75";"т"
12356;"Смеси сухие растворные для обычных штукатурок М-100";"т"
12357;"Смеси сухие растворные для обычных штукатурок М-200";"т"
12358;"Смеси сухие растворные кладочные цементно-известковые М-25";"т"
12359;"Смеси сухие растворные кладочные цементно-известковые М-50";"т"
12360;"Смеси сухие растворные кладочные цементно-известковые М-75";"т"
12361;"Смеси сухие растворные кладочные цементно-известковые М-100";"т"
12362;"Смеси сухие растворные кладочные цементно-песчаные М-25";"т"
12363;"Смеси сухие растворные кладочные цементно-песчаные М-50";"т"
12364;"Смеси сухие растворные кладочные цементно-песчаные М-75";"т"
12365;"Смеси сухие растворные кладочные цементно-песчаные М-100";"т"
12366;"Смеси сухие растворные цементно-песчаные для пола /выравнивающие/ М-100";"т"
12367;"Смеси сухие растворные шлако-портландцементные для пола М-200";"т"
12368;"Смеси песчано-гравийные для дорожных работ природные";"м3"
12369;"Смесь песчано-гравийная для строительных работ природная";"м3"
12370;"Сухая растворная смесь ""Ветонит-500""";"т"
12371;"Сухая растворная смесь /типа ""Ветонит""/";"т"
12372;"Смеси сухие известково-карбонатные штукатурные";"т"
12373;"Смесь сухая гипсовая";"т"
12374;"Смеси сухие на основе высокоактивного портландцемента и кварцевых заполнителей, для упрочнения поверхности бетонных полов";"кг"
12375;"Средство пленкообразующее на основе парафина для предотвращения высыхания свежего бетона";"кг"
12380;"Солома прессованная";"т"
12381;"Солома россыпью";"т"
12382;"Солома россыпью";"м3"
12383;"Саман россыпью";"м3"
12384;"Грунтово-саманная смесь состав по проекту";"м3"
12393;"Смесь сухая растворная цементная";"м3"
12394;"Смесь сухая растворная цементная";"т"
12395;"Смесь сухая растворная цементная марки 50";"м3"
12396;"Смесь сухая растворная цементная марки 75";"м3"
12397;"Смесь сухая растворная цементная марки 100";"м3"
12398;"Смесь сухая растворная цементная марки 150";"м3"
12400;"Шлак гранулированный";"м3"
12401;"Шлак гранулированный";"т"
12402;"Шлак гранулированный тонко-молотый";"т"
12403;"Шлак доменный";"м3"
12404;"Шлак доменный отвальный";"т"
12405;"Шлак доменный рядовой /из отсева/";"м3"
12406;"Шлак рядовой доменный";"т"
12407;"Шлак рядовой доменный";"м3"
12408;"Шлак каменноугольный";"м3"
12409;"Шлак котельный";"м3"
12410;"Шлак мартеновский";"м3"
12411;"Шлак молотый";"т"
12412;"Шлак молотый";"м3"
12413;"Шлак рафинированный";"м3"
12414;"Шлак рафинированный";"т"
12415;"Шлак топливный";"м3"
12416;"Шлак каменноугольный рядовой";"м3"
12417;"Шлак гранулированный производства углеродистого ферро-марганца ФМН";"т"
12418;"Шлак гранулированный производства селико-марганца СМН";"т"
12419;"Шлак гранулированный тонкомолотый";"т"
12420;"Шлаковая мелочь доменная и сталеплавильная для дорожного строительства фракции до 5 мм";"м3"
12421;"Шлаки металлургические пористые: доменный несортированный из ковшовых остатков Череповецкого завода";"м3"
12422;"Шлаки металлургические пористые: мартеновский и отвальный доменный";"м3"
12423;"Шлак";"м3"
12424;"Шлак гранулированный или кварцевый песок";"м3"
12450;"Шлакобетон";"м3"
12451;"Шлакобетон М-15 на крупном заполнителе менее 500 кг/м3";"м3"
12452;"Шлакобетон М-15 на крупном заполнителе от 500 до 600 кг/м3";"м3"
12453;"Шлакобетон М-15 на крупном заполнителе от 600 до 700 кг/м3";"м3"
12454;"Шлакобетон М-15 на крупном заполнителе 700 кг/м3";"м3"
12455;"Шлакобетон М-25 на крупном заполнителе менее 500 кг/м3";"м3"
12456;"Шлакобетон М-25 на крупном заполнителе от 500 до 600 кг/м3";"м3"
12457;"Шлакобетон М-25 на крупном заполнителе от 600 до 700 кг/м3";"м3"
12458;"Шлакобетон М-25 на крупном заполнителе 700 кг/м3";"м3"
12459;"Шлакобетон М-35 на крупном заполнителе менее 500 кг/м3";"м3"
12460;"Шлакобетон М-35 на крупном заполнителе от 500 до 600 кг/м3";"м3"
12461;"Шлакобетон М-35 на крупном заполнителе от 600 до 700 кг/м3";"м3"
12462;"Шлакобетон М-35 на крупном заполнителе 700 кг/м3";"м3"
12463;"Шлакобетон М-50 на крупном заполнителе менее 500 кг/м3";"м3"
12464;"Шлакобетон М-50 на крупном заполнителе от 500 до 600 кг/м3";"м3"
12465;"Шлакобетон М-50 на крупном заполнителе от 600 до 700 кг/м3";"м3"
12466;"Шлакобетон М-50 на крупном заполнителе 700 кг/м3";"м3"
12467;"Шлакобетон М-75 на крупном заполнителе менее 500 кг/м3";"м3"
12468;"Шлакобетон М-75 на крупном заполнителе от 500 до 600 кг/м3";"м3"
12469;"Шлакобетон М-75 на крупном заполнителе от 600 до 700 кг/м3";"м3"
12470;"Шлакобетон М-75 на крупном заполнителе 700 кг/м3";"м3"
12471;"Шлакобетон М-100 на крупном заполнителе менее 500 кг/м3";"м3"
12472;"Шлакобетон М-100 на крупном заполнителе от 500 до 600 кг/м3";"м3"
12473;"Шлакобетон М-100 на крупном заполнителе от 600 до 700 кг/м3";"м3"
12474;"Шлакобетон М-100 на крупном заполнителе 700 кг/м3";"м3"
12475;"Шлакоситалл";"м3"
12476;"Энергосберегающая теплоизоляционная краска - покрытие HOTMET";"л"
12480;"Сухая теплоизоляционная смесь ""Vermidek"" на основе вермикулита";"т"
12481;"Покрытие теплоизоляционное жидкое";"л"
12500;"Цемент М-300 для производства работ";"т"
12501;"Цемент М-400 для производства работ";"т"
12502;"Цемент М-500 для производства работ";"т"
12503;"Цемент М-600 для производства работ";"т"
12504;"Цемент М-200";"т"
12505;"Цемент М-300";"т"
12506;"Цемент М-400";"т"
12507;"Цемент БТЦ 500";"кг"
12600;"Черепица глиняная коньковая";"1000шт"
12601;"Черепица глиняная ленточная пазовая";"1000шт"
12602;"Черепица глиняная ленточная плоская";"1000шт"
12603;"Черепица глиняная пазовая штампованная";"1000шт"
12604;"Черепица глиняная С-образная";"1000шт"
12605;"Черепица цементно-песчаная коньковая";"1000шт"
12606;"Черепица цементно-песчаная с боковыми закроями и шипами";"1000шт"
12607;"Черепица цементно-песчаная с боковыми закроями, поперечным гребнем и шипами";"1000шт"
12608;"Черепица пазовая ленточная рядовая";"1000шт"
12609;"Черепица пазовая ленточная коньковая";"1000шт"
12610;"Черепица пазовая штампованная рядовая";"1000шт"
12611;"Черепица пазовая штампованная коньковая";"1000шт"
12612;"Черепица плоская ленточная рядовая";"1000шт"
12613;"Черепица пазовая ленточная коньковая";"1000шт"
12614;"Черепица полимернаполненная";"1000шт"
12615;"Черепица битумная полосная";"м2"
12640;"Черепица глиняная ленточная пазовая";"м2"
12650;"Шашка для мощения";"м3"
12651;"Шашка от разборки М-800";"м3"
12697;"Щебень из природного камня для строительных работ марка 400, фракция, мм: 10-20";"м3"
12698;"Щебень из природного камня для строительных работ марка 400, фракция, мм: 20-40";"м3"
12699;"Щебень из природного камня для строительных работ";"м3"
12700;"Щебень каменный";"м3"
12701;"Щебень из природного камня для строительных работ марка 200, фракция, мм: 5(3)-10";"м3"
12702;"Щебень из естественного камня М-200 для строительных работ фракции свыше 5-20 мм";"м3"
12703;"Щебень из естественного камня для строительных и дорожных работ М-200 фракции 5-15/20/ мм и свыше 7-25 мм";"м3"
12704;"Щебень из природного камня для строительных работ марка 200, фракция, мм: 10-20";"м3"
12705;"Щебень из естественного камня для строительных работ М-200 фракции 20-40 мм";"м3"
12706;"Щебень из естественного камня для строительных работ М-200 фракции 40-70 мм";"м3"
12707;"Щебень из естественного камня для строительных и дорожных работ М-200 фракции свыше 70 мм /свыше 70-120 мм, свыше 0 мм/";"м3"
12708;"Щебень из естественного камня для строительных работ М-300 фракции 5-10 мм";"м3"
12709;"Щебень из естественного камня М-300 для строительных работ фракции свыше 5-20 мм";"м3"
12710;"Щебень из естественного камня для строительных и дорожных работ М-200-300 фракции 5/3/-20/25/ мм";"м3"
12711;"Щебень из естественного камня для строительных работ М-300 фракции 10-20 мм";"м3"
12712;"Щебень из естественного камня для строительных работ М-300 фракции 20-40 мм";"м3"
12713;"Щебень из естественного камня для строительных работ М-300 фракции 40-70 мм";"м3"
12714;"Щебень из естественного камня для строительных и дорожных работ М-300 фракции свыше 40-70 мм";"м3"
12715;"Щебень из естественного камня для строительных и дорожных работ М-200-300 фракции 0-70 мм";"м3"
12716;"Щебень из естественного камня для строительных и дорожных работ М-300 фракции свыше 70 мм /свыше 70-120 мм, свыше 0 мм/";"м3"
12717;"Щебень из естественного камня для строительных работ М-400 фракции 5-10 мм";"м3"
12718;"Щебень из естественного камня М-400 для строительных работ фракции 5-20 мм";"м3"
12719;"Щебень из естественного камня для строительных и дорожных работ М-400 фракции 5/3/-20/25/ мм";"м3"
12720;"Щебень из естественного камня для строительных работ М-400 фракции 10-20 мм";"м3"
12721;"Щебень из естественного камня для строительных и дорожных работ М-400 фракции 10/15/-15/20/ мм";"м3"
12722;"Щебень из естественного камня для строительных работ М-400 фракции 20-40 мм";"м3"
12723;"Щебень из естественного камня для строительных работ М-400 фракции 40-70 мм";"м3"
12724;"Щебень из естественного камня для строительных и дорожных работ М-400 фракции 0-70 мм";"м3"
12725;"Щебень из естественного камня для строительных и дорожных работ М-400 фракции свыше 70 мм /свыше 70-120 мм, свыше 0 мм/";"м3"
12726;"Щебень из естественного камня для строительных работ М-600 фракции 5-10 мм";"м3"
12727;"Щебень из естественного камня для строительных и дорожных работ М-600 фракции 5-20 мм";"м3"
12728;"Щебень из естественного камня для строительных и дорожных работ М-600 фракции 5/3/-20/25/ мм";"м3"
12729;"Щебень из естественного камня для строительных работ М-600 фракции 5-20 мм";"м3"
12730;"Щебень из естественного камня для строительных и дорожных работ М-600 фракции 10/15/-15/20/ мм";"м3"
12731;"Щебень из естественного камня для строительных работ М-600 фракции 10-20 мм";"м3"
12732;"Щебень из естественного камня для строительных работ М-600 фракции 20-40 мм";"м3"
12733;"Щебень из естественного камня для строительных работ М-600 фракции 40-70 мм";"м3"
12734;"Щебень из естественного камня для строительных и дорожных работ М-600 фракции 0-70 мм";"м3"
12735;"Щебень из естественного камня для строительных и дорожных работ М-600 фракции свыше 70 мм /свыше 70-120 мм свыше 0 мм/";"м3"
12736;"Щебень из естественного камня для строительных работ М-800 фракции 5-10 мм";"м3"
12737;"Щебень из естественного камня для строительных работ М-800 фракции 5-20 мм";"м3"
12738;"Щебень из естественного камня для строительных и дорожных работ М-800 фракции 5/3/-20/25/ мм";"м3"
12739;"Щебень из естественного камня для строительных и дорожных работ М-800 фракции 10/15/-15/20/ мм";"м3"
12740;"Щебень из естественного камня для строительных работ М-800 фраккии 10-20 мм";"м3"
12741;"Щебень из природного камня для строительных работ марка 800, фракция, мм: 20-40";"м3"
12742;"Щебень из естественного камня для строительных работ М-800 фракции 40-70 мм";"м3"
12743;"Щебень из естественного камня для строительных и дорожных работ М-800 фракции 0-70 мм";"м3"
12744;"Щебень из естественного камня для строительных и дорожных работ М-800 фракции свыше 70 мм /свыше 70-120 мм, свыше 0 мм/";"м3"
12745;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 5-10 мм";"м3"
12746;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 5-20 мм";"м3"
12747;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 5/3/-20/25/ мм";"м3"
12748;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции от 5-15/20/ мм и свыше 7-25 мм";"м3"
12749;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции свыше 10-20 мм";"м3"
12750;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 10/15/-15/20/ мм";"м3"
12751;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 10-20 мм";"м3"
12752;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 20/25/-40 мм и свыше 5-40 мм";"м3"
12753;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 40-70 мм";"м3"
12754;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции 0-70 мм";"м3"
12755;"Щебень из естественного камня для строительных и дорожных работ М-1000 фракции свыше 70 мм /свыше 70-120 мм, свыше 0 мм/";"м3"
12756;"Щебень из естественного камня для строительных работ М-1200,1000 фракции 5-10 мм";"м3"
12757;"Щебень из естественного камня для строительных работ М-1000-1200 фракции 5-20 мм";"м3"
12758;"Щебень из естественного камня для строительных работ М-1200,1000 фракции 10-20 мм";"м3"
12760;"Щебень из естественного камня для строительных и дорожных работ М-1200 фракции 10/15/-15/20/ мм";"м3"
12761;"Щебень из естественного камня для строительных работ М-1200,1000 фракции 20-40 мм";"м3"
12762;"Щебень из естественного камня для строительных работ М-1200,1000 фракции 40-70 мм";"м3"
12763;"Щебень из естественного камня для строительных и дорожных работ М-1200 фракции свыше 70 мм /свыше 70-120 мм, свыше 0 мм/";"м3"
12764;"Щебень из естественного камня М-1400 для строительных работ фракции 5-10 мм";"м3"
12765;"Щебень из естественного камня М-1400 для строительных работ фракции 5-20 мм";"м3"
12766;"Щебень из естественного камня М-1400 для строительных работ фракции 10-20 мм";"м3"
12767;"Щебень из естественного камня для строительных и дорожных работ М-1400 фракции 10/15/-15/20/ мм";"м3"
12768;"Щебень из естественного камня М-1400 для строительных работ фракции 20-40 мм";"м3"
12769;"Щебень из естественного камня М-1400 для строительных работ фракции 40-70 мм";"м3"
12770;"Щебень из естественного камня для строительных и дорожных работ М-1400 фракции свыше 70 мм /свыше 70-120 мм, 0 мм/";"м3"
12801;"Щебень из естественного камня для строительных и дорожных работ М ДР.8 фракции 5-10 мм";"м3"
12802;"Щебень из естественного камня для строительных и дорожных работ М ДР.8 фракции 5-20 мм";"м3"
12803;"Щебень из естественного камня для строительных и дорожных работ М ДР.8 фракции 10-20 мм";"м3"
12804;"Щебень из естественного камня для строительных и дорожных работ М ДР.8 фракции 20-40 мм";"м3"
12805;"Щебень из естественного камня для строительных и дорожных работ М ДР.8 фракции 40-70 мм";"м3"
12806;"Щебень из естественного камня для строительных и дорожных работ М ДР.12 фракции 5-10 мм";"м3"
12807;"Щебень из естественного камня для строительных и дорожных работ М ДР.12 фракции 5-20 мм";"м3"
12808;"Щебень из естественного камня для строительных и дорожных работ М ДР.12 фракции 10-20 мм";"м3"
12810;"Щебень из естественного камня для строительных и дорожных работ М ДР.12 фракции 20-40 мм";"м3"
12811;"Щебень из естественного камня для строительных и дорожных работ М ДР.12 фракции 40-70 мм";"м3"
12812;"Щебень из естественного камня для строительных и дорожных работ М ДР.16 фракции 5-10 мм";"м3"
12813;"Щебень из естественного камня для строительных и дорожных работ М ДР.16 фракции 5-20 мм";"м3"
12814;"Щебень из естественного камня для строительных и дорожных работ М ДР.16 фракции 10-20 мм";"м3"
