id;nom;birlik
135;"Агрегаты электронасосные с регулированием подачи вручную для строительных растворов подача до 6 м3/ч, напор 150 м";"маш.-ч"
136;"Агрегаты электронасосные с регулированием подачи вручную для гидросмесей с мелкой фракцией, подача до 12 м3/ч, напор 120 м";"маш.-ч"
137;"Агрегаты электронасосные с регулированием подачи вручную для гидросмесей с мелкой твердой фракцией, подача до 32 м3/ч, напор 80 м";"маш.-ч"
138;"Агрегаты электронасосные с регулированием подачи вручную для гидросмесей с мелкой твердой фракцией, подача до 40 м3/ч, напор 80 м";"маш.-ч"
139;"Агрегаты электронасосные с регулированием подачи вручную для гидросмесей с мелкой твердой фракцией, подача до 150 м3/ч, напор 30 м";"маш.-ч"
140;"Агрегаты электронасосные с регулированием подачи вручную для гидросмесей с мелкой твердой фракцией, подача до 250 м3/ч, напор 54 м";"маш.-ч"
141;"Агрегаты электронасосные с регулированием подачи вручную для нейтральных жидкостей и суспензий, подача до 1000 м3/ч, напор 100 м";"маш.-ч"
142;"Аппараты скважинный пневматический для обработки скважин глубиной до 150 м";"маш.-ч"
143;"Аппараты для воздушной плазменной резки металла";"маш.-ч"
144;"Аппараты дробеструйные";"маш.-ч"
145;"Аппараты рентгеновские для просвечивания металла толщиной до 30 мм";"маш.-ч"
146;"Аппараты рентгеновские для просвечивания металла толщиной 30 мм и более";"маш.-ч"
147;"Аппараты рентгено-дефектоскопические с толщиной просвечиваемой стали до 25 мм";"маш.-ч"
148;"Аппараты рентгено-дефектоскопические с толщиной просвечиваемой стали до 60 мм (передвижные)";"маш.-ч"
149;"Автобитумовозы 15 т";"маш.-ч"
150;"Агрегаты для распределения пленкообразующих материалов по цементно-бетонному покрытию";"маш.-ч"
151;"Автобетононасосы 65 м3/ч";"маш.-ч"
152;"Агрегаты для бетонирования стен самоходные";"маш.-ч"
153;"Аппараты пескоструйный при работе от компрессора, давлением 0,6 (6) Мпа (атм.)";"маш.-ч"
154;"Автобетономешалки 250 л";"маш.-ч"
155;"Автосамосвалы 6 т";"маш.-ч"
156;"Автосамосвалы 2,25 т";"маш.-ч"
157;"Автосамосвал грузоподъемность 20 т";"маш.-ч"
158;"Автосамосвалы 12 т";"маш.-ч"
159;"Автосамосвалы 18 т";"маш.-ч"
160;"Автосамосвалы 27 т";"маш.-ч"
161;"Автосамосвалы 5 т";"маш.-ч"
162;"Автомобили-самосвалы грузоподъемностью до 7 т";"маш.-ч"
163;"Автомобили-самосвалы грузоподъемностью до 10 т";"маш.-ч"
164;"Автосамосвалы 40 т";"маш.-ч"
165;"Автомобили-самосвалы грузоподъемностью до 75 т";"маш.-ч"
166;"Автосамосвал грузоподъемность 25 т";"маш.-ч"
167;"Автобитумовозы 6 т";"маш.-ч"
168;"Автогрейдеры среднего типа 79 кВт";"маш.-ч"
169;"Автопогрузчики при работе на других видах строительства 2 т";"маш.-ч"
170;"Автосамосвалы 180 т";"маш.-ч"
171;"Агрегаты для подачи грунтовки";"маш.-ч"
172;"Автобус";"маш.-ч"
173;"Установка для абразивоструйной обработки напорного типа PS-100";"маш.-ч"
174;"Агрегаты сваебойные с дизельмолотом 0,6 т на тракторе 108 л.с.";"маш.-ч"
175;"Агрегаты вибровдавливающие на тракторе 100 л.с.";"маш.-ч"
176;"Агрегаты КШК";"маш.-ч"
177;"Агрегаты передвижные наполнительно-прессовочные";"маш.-ч"
178;"Агрегаты сваебойные с дизельмолотом 1,8 т на тракторе 108 л.с.";"маш.-ч"
179;"Агрегаты сваебойные с дизельмолотом 2,5 т на тракторе 108 л.с.";"маш.-ч"
180;"Агрегаты сваебойные с дизельмолотом 1,8 т на экскаваторе 0,65 м3";"маш.-ч"
181;"Агрегаты сваебойные с дизельмолотом 2,5 т на экскаваторе 0,65 м3";"маш.-ч"
182;"Агрегаты сваебойные с дизельмолотом 2,5 т на экскаваторе 1 м3";"маш.-ч"
183;"Агрегаты сваебойные с дизельмолотом 3,5 т на экскаваторе 1,25 м3";"маш.-ч"
184;"Агрегаты сваебойные с дизельмолотом 1,25 т на тракторе 108 л.с.";"маш.-ч"
185;"Автопогрузчики при работе на других видах строительства 3 т";"маш.-ч"
186;"Установки бурильные гидравлические на гусеничном ходу для сечений 10-34 м2 при работе в горизонтальных и наклонных выработках типа УБШ-316, CMJ2-17DTC2-35";"маш.-ч"
187;"Автопогрузчики при работе на жилищно-гражданском строительстве 3 т";"маш.-ч"
188;"Автоцементовозы 8 т";"маш.-ч"
189;"Агрегаты двухконсольные для возведения гиперболической оболочки градирни";"маш.-ч"
190;"Агрегаты для сетевого строительства на тракторе 59 кВт";"маш.-ч"
191;"Буровая установка MOBILRAM-System ABI TM 18/22, ABI TM 22";"маш.-ч"
192;"Агрегаты сварочные однопостовые для ручной электродуговой сварки";"маш.-ч"
193;"Аппараты сварочные";"маш.-ч"
194;"Буровой станок НКР 100МВПА диаметр бурения 105мм Глубина бурения 80 м";"маш.-ч"
195;"Воздушный компрессор производительностью до 25 м3/час";"маш.-ч"
196;"Воздушный компрессор производительностью до 18 м3/час";"маш.-ч"
197;"Установки бурильные пневматические самоходные на пневмоколесном ходу типа Boomer-282 или буровая каретка DW2-50";"маш.-ч"
198;"Установки бурильные гидравлические на пневмоколёсном ходу типа УБШ-312, Бумер-282, Установки бурильные гидравлические на пневмоколёсном ходу типа УБШ-312,Бумер-282,ТамрокH5250LТамрок H5250L";"маш.-ч"
199;"Станки ударно-вращательного бурения с установкой Kaishan KG520, глубина бурения до 25 м, диаметр скважин 105-165 мм";"маш.-ч"
200;"Бадьи";"маш.-ч"
201;"Бадьи 4 м3";"маш.-ч"
202;"Бадьи 8 м3";"маш.-ч"
203;"Базы битумоплавильные 8000 л";"маш.-ч"
204;"Базы трубосварочные полевые для труб, диаметром 350-800 мм";"маш.-ч"
205;"Базы трубосварочные полевые для труб, диаметром 1000-1200 мм";"маш.-ч"
206;"Базы трубосварочные полустационарные для труб диаметром до 1200-1400 мм";"маш.-ч"
207;"Базы трубосварочные полевые для труб, диаметром 1400 мм";"маш.-ч"
208;"Краны на автомобильном ходу при работе на других видах строительства (кроме магистральных трубопроводов) 50 т";"маш.-ч"
209;"Экскаваторы на гусеничном ходу типа HYUNDAI ROBEX R480 LC-95, SANY SY 500H, SHANTUI SE 470 LC c емкостью ковша 2,5 м3";"маш.-ч"
210;"Экскаваторы на гусеничном ходу типа HYUNDAI ROBEX R300 LC-95, SANY SY 500H, SHANTUI 335C с емкостью ковша 1,5 м3";"маш.-ч"
211;"Экскаваторы на гусеничном ходу типа UZXMJ с емкостью ковша 1,2 м3";"маш.-ч"
212;"Экскаваторы на гусеничном ходу типа HYUNDAI ROBEX R430 LC-9SH с ковшом вместимостью 2 (2,1) м3";"маш.-ч"
213;"Экскаваторы на гусеничном ходу типа SANY SY 750 H с емкостью ковша 4,2 м3";"маш.-ч"
214;"Экскаваторы на гусеничном ходу типа HYUNDAI ROBEX R850 LC-9FS с емкостью ковша 4,5, (4,6) м3";"маш.-ч"
215;"Автогрейдер SHANTUI модель SG21-3 мощностью 160 (210) квт (л.с.)";"маш.-ч"
216;"Краны на автомобильном ходу XCMG на других видах строительства (кроме монтажа технологического оборудования) 50 т";"маш.-ч"
217;"Автомобили бортовые грузоподъемностью до 25 т";"маш.-ч"
218;"Бульдозеры SHANTUI SD32 мощностью 235 (320) кВт (л.с.)";"маш.-ч"
219;"Бульдозеры SHANTUI SD 22162 кВт (220 л.с.)";"маш.-ч"
220;"Установка инъекционная";"маш.-ч"
